図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-89歳,,86,78,109,120,153,192,187,239,232,243,275,341,417,500,703,816,1075,1255,1389,1510,1527,1651,1825,1916,1981,2158,2360,2486,2605,2715,2787,2817,3173,3047,3298,3253,3328
,人口10万人当たり,10.8,9.3,12.7,13.1,15.7,18.2,16.4,19.4,17.7,17.5,18.8,22.2,26,30.2,41.4,47.5,58,64.7,67.7,69.5,65.5,67.3,69.5,68.9,67.7,70.5,74.8,76,76.7,77.2,77.2,75.3,81.9,77,82.9,82.5,84.4
90歳以上,,13,22,13,17,26,30,31,24,31,41,46,44,71,83,101,170,238,254,272,293,330,305,367,347,340,392,430,453,509,502,559,587,672,654,834,875,930
,人口10万人当たり,4.8,7.6,4,4.8,6.7,7.2,7,5.1,5.9,7,7.2,6.3,9.2,9.7,10.8,16.7,22,22,22.2,22.9,24.8,22.3,25.4,22.7,21.1,22.8,24.1,23.6,25.1,23.4,24.7,24.6,26.6,24.8,30.6,31.1,33.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
図表：１－２－１（包括罪種別認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  年次区分,,,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑法犯総数,,認知件数(件),2853739,2790136,2562767,2269293,2050850,1908836,1826500,1713832,1604019,1502951,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数(件),592359,648319,667620,649503,640657,605358,573392,544699,497356,462535,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員(人),347558,379602,389027,386955,384250,365577,339752,332888,322620,305631,,,,,,,,,,,,,,,,,,,,,,,,,,
